id,zip,city,state,city_type,zip_type,latitude,longitude,header_title,meta_description,meta_keywords,page_header,page_description,url_name
34012,77875,Roans Prairie,TX,D,P,30.5835070,-95.9412560,,,,,,
34013,77876,Shiro,TX,D,P,30.6145720,-95.8868990,,,,,,
34014,77878,Snook,TX,D,P,30.4882860,-96.4645300,,,,,,
34015,77879,Somerville,TX,D,S,30.3357250,-96.5714200,,,,,,
34016,77880,Washington,TX,D,S,30.3326260,-96.2260600,,,,,,
34017,77881,Wellborn,TX,D,P,30.5365610,-96.3014460,,,,,,
34018,77882,Wheelock,TX,D,P,30.8971420,-96.3909240,,,,,,
34019,77901,Victoria,TX,D,S,28.7067500,-97.1814300,,,,,,
34020,77902,Victoria,TX,D,P,28.7835920,-96.9961840,,,,,,
34021,77903,Victoria,TX,D,P,28.7948800,-97.0041060,,,,,,
34022,77904,Victoria,TX,D,S,28.8554980,-97.0031460,,,,,,
34023,77905,Victoria,TX,D,S,28.8847420,-97.1709230,,,,,,
34024,77950,Austwell,TX,D,P,28.3951580,-96.9731390,,,,,,
34025,77951,Bloomington,TX,D,P,28.6489920,-96.8935630,,,,,,
34026,77954,Cuero,TX,D,S,29.1034200,-97.2813000,,,,,,
34027,77957,Edna,TX,D,S,28.9741800,-96.6499200,,,,,,
34028,77960,Fannin,TX,D,P,28.6562100,-97.4225170,,,,,,
34029,77961,Francitas,TX,D,P,28.8170960,-96.4452060,,,,,,
34030,77962,Ganado,TX,D,S,29.0387850,-96.5130090,,,,,,
34031,77963,Goliad,TX,D,S,28.7574600,-97.4206800,,,,,,
34032,77964,Hallettsville,TX,D,S,29.2486100,-96.7033400,,,,,,
34033,77967,Hochheim,TX,D,P,29.2411990,-97.0696180,,,,,,
34034,77968,Inez,TX,D,S,28.8779850,-96.8322240,,,,,,
34035,77969,La Salle,TX,D,P,29.0142730,-96.6838010,,,,,,
34036,77970,La Ward,TX,D,P,28.8184280,-96.4425050,,,,,,
34037,77971,Lolita,TX,D,S,28.8170710,-96.4405650,,,,,,
34038,77973,McFaddin,TX,D,P,28.7200490,-97.0483720,,,,,,
34039,77974,Meyersville,TX,D,S,28.9297570,-97.3026240,,,,,,
34040,77975,Moulton,TX,D,S,29.5689000,-97.0855800,,,,,,
34041,77976,Nursery,TX,D,P,28.9519780,-96.9835330,,,,,,
34042,77977,Placedo,TX,D,P,28.6957580,-96.8267460,,,,,,
34043,77978,Point Comfort,TX,D,P,28.6789190,-96.5563830,,,,,,
34044,77979,Port Lavaca,TX,D,S,28.6174990,-96.6332020,,,,,,
34045,77982,Port o Connor,TX,D,P,28.2253300,-96.6434560,,,,,,
34046,77983,Seadrift,TX,D,S,28.4012050,-96.6574870,,,,,,
34047,77984,Shiner,TX,D,S,29.4320360,-97.1754200,,,,,,
34048,77986,Sublime,TX,D,P,29.3975440,-96.8237830,,,,,,
34049,77987,Sweet Home,TX,D,P,29.2404750,-97.0681060,,,,,,
34050,77988,Telferner,TX,D,P,28.8495980,-96.8872060,,,,,,
34051,77989,Thomaston,TX,D,P,29.0967990,-97.1903750,,,,,,
34052,77990,Tivoli,TX,D,S,28.4572660,-96.8960700,,,,,,
34053,77991,Vanderbilt,TX,D,P,29.0095680,-96.6843560,,,,,,
34054,77993,Weesatche,TX,D,P,28.6547480,-97.4261860,,,,,,
34055,77994,Westhoff,TX,D,S,29.0808040,-97.3586120,,,,,,
34056,77995,Yoakum,TX,D,S,29.3208000,-97.1253600,,,,,,
34057,78001,Artesia Wells,TX,D,P,28.2806050,-99.2826210,,,,,,
34058,78002,Atascosa,TX,D,S,29.2871740,-98.7332940,,,,,,
34059,78003,Bandera,TX,D,S,29.7350760,-99.0400700,,,,,,
34060,78004,Bergheim,TX,D,S,29.8415670,-98.5824980,,,,,,
34061,78005,Bigfoot,TX,D,S,29.2148640,-98.7088000,,,,,,
34062,78006,Boerne,TX,D,S,29.7180300,-98.6513430,,,,,,
34063,78007,Calliham,TX,D,S,28.3458360,-98.4214380,,,,,,
34064,78008,Campbellton,TX,D,S,28.7921110,-98.2456570,,,,,,
34065,78009,Castroville,TX,D,S,29.3487070,-98.8872540,,,,,,
34066,78010,Center Point,TX,D,S,29.9356200,-99.0100200,,,,,,
34067,78011,Charlotte,TX,D,S,28.8186710,-98.7115610,,,,,,
34068,78012,Christine,TX,D,S,28.7938680,-98.5125930,,,,,,
34069,78013,Comfort,TX,D,S,29.9848610,-98.8396370,,,,,,
34070,78014,Cotulla,TX,D,S,28.4241120,-99.2370160,,,,,,
34071,78015,Boerne,TX,D,S,29.8013490,-98.7412460,,,,,,
34072,78016,Devine,TX,D,S,29.1462840,-98.9102390,,,,,,
34073,78017,Dilley,TX,D,S,28.6891200,-99.1965600,,,,,,
34074,78019,Encinal,TX,D,P,28.0387530,-99.3534850,,,,,,
34075,78021,Fowlerton,TX,D,S,28.5307030,-98.8324540,,,,,,
34076,78022,George West,TX,D,S,28.3289680,-98.1181650,,,,,,
34077,78023,Helotes,TX,D,S,29.5925120,-98.7150280,,,,,,
34078,78024,Hunt,TX,D,S,30.0757070,-99.3245840,,,,,,
34079,78025,Ingram,TX,D,S,30.0854050,-99.2431670,,,,,,
34080,78026,Jourdanton,TX,D,S,28.9185920,-98.5415200,,,,,,
34081,78027,Kendalia,TX,D,S,29.9415690,-98.5059100,,,,,,
34082,78028,Kerrville,TX,D,S,30.0388450,-99.1513080,,,,,,
34083,78029,Kerrville,TX,D,P,30.0611530,-99.1560920,,,,,,
34084,78039,La Coste,TX,D,S,29.3169650,-98.8325690,,,,,,
34085,78040,Laredo,TX,D,S,27.5126930,-99.4881930,,,,,,
34086,78041,Laredo,TX,D,S,27.5494590,-99.4889740,,,,,,
34087,78042,Laredo,TX,D,P,27.5056460,-99.5075230,,,,,,
34088,78043,Laredo,TX,D,S,27.4919100,-99.4717100,,,,,,
34089,78044,Laredo,TX,D,P,27.4602080,-99.4889310,,,,,,
34090,78045,Laredo,TX,D,S,27.5940730,-99.5128500,,,,,,
34091,78046,Laredo,TX,D,S,27.4346500,-99.4730740,,,,,,
34092,78049,Laredo,TX,D,U,27.5327780,-99.4678160,,,,,,
34093,78050,Leming,TX,D,P,29.0722130,-98.4851950,,,,,,
34094,78052,Lytle,TX,D,S,29.2239450,-98.7883860,,,,,,
34095,78054,Macdona,TX,D,P,29.3240130,-98.6935580,,,,,,
34096,78055,Medina,TX,D,S,29.9389180,-99.2267170,,,,,,
34097,78056,Mico,TX,D,S,29.5796400,-98.8749600,,,,,,
34098,78057,Moore,TX,D,S,29.0008160,-98.9367030,,,,,,
34099,78058,Mountain Home,TX,D,S,30.2387580,-99.3491060,,,,,,
34100,78059,Natalia,TX,D,S,29.1856400,-98.8537450,,,,,,
34101,78060,Oakville,TX,D,S,28.4600000,-98.1822220,,,,,,
34102,78061,Pearsall,TX,D,S,28.8916920,-99.0953470,,,,,,
34103,78062,Peggy,TX,D,P,28.7411050,-98.1778570,,,,,,
34104,78063,Pipe Creek,TX,D,S,29.6568000,-98.9075400,,,,,,
34105,78064,Pleasanton,TX,D,S,28.9681890,-98.4878540,,,,,,
34106,78065,Poteet,TX,D,S,29.1312800,-98.5345020,,,,,,
34107,78066,Rio Medina,TX,D,S,29.5007650,-98.8691430,,,,,,
34108,78067,San Ygnacio,TX,D,S,27.0384210,-99.4256870,,,,,,
34109,78069,Somerset,TX,D,S,29.1976790,-98.6758680,,,,,,
